,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits/s,Cache Misses/s,Cache Hit Ratio
99.99%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49954931701596256,0.8791747200524016,0.6864932296558163,-0.2096890678247383,0.8912369824230142
100%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49954931701596256,0.8791747200524016,0.6864932296558163,-0.2096890678247383,0.8912369824230142
Total Request Count,0.5525552788630983,0.900077241902244,,-0.6410020989863608,-0.7082426856352765,-0.7702632297256894,-0.7937050369095088,-0.7866286794837046,-0.5641704028097221,-0.2258603428782332,-0.03803799027996394,0.6069195444095052,0.6069195444095052,0.6069195444095052,1.0,,-0.5865889178226112,-0.703131947594136,-0.012166346485799772,0.6100140379747504,-0.7541623062616176,0.9041219612085278,0.6941857011487472,0.43672573305998963,-0.3156258063709947,0.6976754648668323
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,-0.5136904054373725,-0.6651903896283593,,0.9919312727520502,0.9198322099404437,0.8422091648388476,0.7888603441657349,0.637207025544917,0.49124410701587223,0.225209004464266,-0.02303404911576756,-0.41280500752706134,-0.41280500752706134,-0.41280500752706134,-0.5865889178226112,,1.0,0.9146133119144005,0.12544552433537,-0.33735496899051814,0.6819230201328047,-0.42535953709622076,-0.4954545644442542,-0.6049511208111019,0.19144289984451668,-0.6396120295152807
Total Average Response Time,-0.43650643889091945,-0.7194108933758363,,0.9092006427492866,0.962962991143235,0.9636556266391849,0.9533064716544227,0.8680330261342637,0.7445361081832919,0.5024856089882032,0.25261323149885734,-0.29085597531128565,-0.29085597531128565,-0.29085597531128565,-0.703131947594136,,0.9146133119144005,1.0,0.17501873408269591,-0.18479139146757023,0.8287601099455896,-0.5390808325074427,-0.39996882860970356,-0.4867705653326074,0.2085430497545331,-0.507600158252962
Total Min Response Time,0.04407943123008222,-0.00641059885846468,,0.14989392148514197,0.0702683808611104,0.07301479969196341,0.025684076679894294,-0.13881958136538927,-0.40483959995403784,-0.6561137598483872,-0.7449961611150662,-0.859970758355807,-0.859970758355807,-0.859970758355807,-0.012166346485799772,,0.12544552433537,0.17501873408269591,1.0,0.09957020976703743,0.5386398705096188,-0.013005869668210487,-0.023982967053911734,-0.016981591450960856,0.2401497187263876,-0.021858632232379764
Total Max Response Time,0.7935554593619816,0.7199578882655391,,-0.4787755029614363,-0.400620881532651,-0.3547335004364341,-0.28777925061691056,-0.061847474644803134,0.26962801206420345,0.5999524130173709,0.7642962995944125,0.999811375910109,0.999811375910109,0.999811375910109,0.6100140379747504,,-0.33735496899051814,-0.18479139146757023,0.09957020976703743,1.0,-0.25638408907463905,0.5032299791575774,0.8738608346191904,0.685634450200164,-0.1028212383427507,0.8825457458480738
Total Average Content Size,-0.3835467529436181,-0.6998784999235859,,0.7357200131096986,0.8061039085743725,0.8482337099583172,0.8608046505734768,0.8158330739782217,0.6042820316407698,0.2897760775309352,0.06901201211908377,-0.5454422052577333,-0.5454422052577333,-0.5454422052577333,-0.7541623062616176,,0.6819230201328047,0.8287601099455896,0.5386398705096188,-0.25638408907463905,1.0,-0.6496593694633046,-0.4974169867479226,-0.3859534968214143,0.4086607724488364,-0.5202206461669101
CPU,0.34002489084792437,0.6897670570982866,,-0.46681014983955016,-0.5128621145268599,-0.5571615096516841,-0.5869313095022224,-0.6787153776191654,-0.5006433696824669,-0.18677103238076273,-0.07655437517718544,0.49954931701596256,0.49954931701596256,0.49954931701596256,0.9041219612085278,,-0.42535953709622076,-0.5390808325074427,-0.013005869668210487,0.5032299791575774,-0.6496593694633046,1.0,0.6292466845122907,0.2373406291062301,-0.4265136379645787,0.5808677833162951
Memory,0.7688194319397685,0.7607275998753705,,-0.5738449304654727,-0.5396312302157906,-0.4797937497277716,-0.42375898601939305,-0.2484860212705343,0.05610158003273123,0.37355656782804025,0.557103042881812,0.8791747200524016,0.8791747200524016,0.8791747200524016,0.6941857011487472,,-0.4954545644442542,-0.39996882860970356,-0.023982967053911734,0.8738608346191904,-0.4974169867479226,0.6292466845122907,1.0,0.6853507058816805,-0.26198389301337877,0.9127344643007447
Cache Hits/s,0.9357725489432311,0.7338904304601339,,-0.6627428992156675,-0.6301281204744122,-0.5792846242675594,-0.510353534471139,-0.22773461702395384,0.06595449570030693,0.23878467732545117,0.4863725722602955,0.6864932296558163,0.6864932296558163,0.6864932296558163,0.43672573305998963,,-0.6049511208111019,-0.4867705653326074,-0.016981591450960856,0.685634450200164,-0.3859534968214143,0.2373406291062301,0.6853507058816805,1.0,0.125775018562406,0.7567973947436022
Cache Misses/s,0.1993830938562453,-0.08248458142330657,,0.17623046671082815,0.10085341940179975,0.056784189999728014,0.08150952386026915,0.24005923227812334,0.16526180463250972,-0.036838629805385895,-0.024084992728689514,-0.2096890678247383,-0.2096890678247383,-0.2096890678247383,-0.3156258063709947,,0.19144289984451668,0.2085430497545331,0.2401497187263876,-0.1028212383427507,0.4086607724488364,-0.4265136379645787,-0.26198389301337877,0.125775018562406,1.0,-0.33345188521912467
Cache Hit Ratio,0.7599651276220236,0.7806908098021474,,-0.7135928435623163,-0.6321829920036413,-0.5587932011379196,-0.4935177430567603,-0.29179346550543217,0.021325312094894945,0.36732844419972444,0.569834621103843,0.8912369824230142,0.8912369824230142,0.8912369824230142,0.6976754648668323,,-0.6396120295152807,-0.507600158252962,-0.021858632232379764,0.8825457458480738,-0.5202206461669101,0.5808677833162951,0.9127344643007447,0.7567973947436022,-0.33345188521912467,1.0
